speed,speed_med_5,speed_med_20,speed_SD_5,speed_SD_20,acceleration,acceleration_med_5,acceleration_med_20,acceleration_SD_5,acceleration_SD_20,angular_speed,angular_speed_med_5,angular_speed_med_20,angular_speed_SD_5,angular_speed_SD_20,angular_acceleration,angular_acceleration_med_5,angular_acceleration_med_20,angular_acceleration_SD_5,angular_acceleration_SD_20,angle_diff,angle_diff_med_5,angle_diff_med_20,angle_diff_SD_5,angle_diff_SD_20,tag,lon,lat
4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,114.369962,35.406644
5.0,5.0,5.0,0.5,0.5,0.2,0.2,0.2,0.1,0.1,56.6,56.6,56.6,28.3,28.3,11.32,11.32,11.32,5.66,5.66,-13,0,0,6.5,6.5,1,114.369916,35.406669
7.0,5.0,5.0,1.247219128924647,1.247219128924647,0.4,0.2,0.2,0.16329931618554522,0.16329931618554522,56.6,56.6,56.6,26.68149587677239,26.68149587677239,0.0,0.0,0.0,5.336299175354478,5.336299175354478,0,0,0,6.128258770283412,6.128258770283412,1,114.369833,35.406677
5.0,5.0,5.0,1.0897247358851685,1.0897247358851685,-0.4,0.2,0.2,0.29580398915498085,0.29580398915498085,57.8,56.6,56.6,24.68658542609731,24.68658542609731,0.2399999999999991,0.2399999999999991,0.2399999999999991,4.868048890469363,4.868048890469363,6,0,0,6.94172168845741,6.94172168845741,1,114.369735,35.406689
4.0,5.0,5.0,1.0954451150103321,1.0954451150103321,-0.1666666666666666,0.0,0.0,0.278408173570948,0.278408173570948,3.6666666666666665,56.6,56.6,27.054447159591177,27.054447159591177,-9.022222222222222,0.0,0.0,6.454648412071473,6.454648412071473,-267,0,0,106.2815129737999,106.2815129737999,1,114.369668,35.406668
3.0,5.0,5.0,1.247219128924647,1.247219128924647,-0.25,0.0,0.0,0.27155530550997764,0.27155530550997764,89.25,56.6,56.6,31.933000486357813,31.933000486357813,21.39583333333333,0.2399999999999991,0.2399999999999991,9.763132646042184,9.763132646042184,335,0,0,174.68964543504637,174.68964543504637,1,114.369675,35.406691
3.0,5.0,4.0,1.3844373104863459,1.2936264483053452,0.0,0.0,0.0,0.27155530550997764,0.25172871695294424,26.33333333333333,56.6,56.6,27.017178605746658,30.202654709047067,-10.486111111111112,0.2399999999999991,0.0,11.159461566420564,10.361378121616502,-199,0,0,191.54894935759893,177.5224044497839,1,114.369673,35.406683
5.0,5.0,5.0,1.3844373104863459,1.224744871391589,0.5,0.0,0.0,0.33144139008537904,0.2937352242146734,70.25,57.8,56.6,28.164335866744928,29.812838339566248,10.979166666666668,0.2399999999999991,0.2399999999999991,11.113877358200762,10.144580136878478,123,6,0,199.28176590501755,172.63432270264218,1,114.369657,35.406691
5.0,5.0,5.0,0.8975274678557507,1.1653431646335017,0.0,0.0,0.0,0.28389106326629787,0.2771598064276994,16.833333333333332,57.8,56.6,30.561355510141954,29.474632440049096,-8.902777777777779,0.2399999999999991,0.0,11.874723926471047,10.275999357405604,-180,6,0,210.2218404976567,172.11882200645255,1,114.369686,35.40668
6.0,5.0,5.0,1.1055415967851332,1.1874342087037917,0.2,0.0,0.0,0.24728463631617856,0.2677529956259438,20.0,26.33333333333333,56.6,30.96524585107123,28.72534981897039,0.6333333333333335,0.6333333333333335,0.2399999999999991,11.873085525409557,9.754167237964133,-1,-1,0,210.03630638534852,163.40391672172368,1,114.369782,35.406674
